,A,B
2,King T,Xzibit
3,King T,Dr. Dre
4,King T,Dr. Dre
5,King T,Dr. Dre
6,King T,Dr. Dre
7,King T,Ant Banks
8,King T,Ant Banks
9,King T,Ice Cube
10,King T,WC (rapper)
11,King T,Ice-T
12,King T,Ice-T
13,King T,Ice-T
14,King T,The Notorious B.I.G.
15,King T,Marley Marl
16,King T,Young Maylay
17,King T,DJ Quik
18,King T,Kam (rapper)
19,King T,Snoop Dogg
20,King T,The Game (rapper)
0,Curtiss King,Ab-Soul
1,Curtiss King,Glasses Malone
2,Curtiss King,Glasses Malone
3,Curtiss King,Murs (rapper)
4,Curtiss King,Murs (rapper)
5,Curtiss King,Murs (rapper)
6,Curtiss King,Murs (rapper)
7,Curtiss King,Murs (rapper)
8,Curtiss King,Noa James
9,Curtiss King,Noa James
10,Curtiss King,Noa James
11,Curtiss King,Noa James
12,Curtiss King,Mack 10
13,Curtiss King,Kendrick Lamar
14,Curtiss King,Jill Scott (singer)
0,Rydah J. Klyde,The Jacka
1,Rydah J. Klyde,The Jacka
2,Rydah J. Klyde,The Jacka
3,Rydah J. Klyde,Mac Dre
4,Rydah J. Klyde,Mac Dre
5,Rydah J. Klyde,Keak da Sneak
6,Rydah J. Klyde,Messy Marv
7,Rydah J. Klyde,Berner (rapper)
0,Knightowl,Eazy-E
1,Knightowl,Dr. Dre
2,Knightowl,Big Syke
3,Knightowl,Daz Dillinger
4,Knightowl,Lil Rob
0,Knxwledge,Kendrick Lamar
1,Knxwledge,Kendrick Lamar
2,Knxwledge,Meek Mill
3,Knxwledge,Mach-Hommy
4,Knxwledge,Mach-Hommy
5,Knxwledge,Roc Marciano
6,Knxwledge,Roc Marciano
7,Knxwledge,Joey Badass
8,Knxwledge,Joey Badass
9,Knxwledge,Capital Steez
10,Knxwledge,Ghostface Killah
11,Knxwledge,Earl Sweatshirt
12,Knxwledge,The Alchemist (musician)
13,Knxwledge,Hodgy
14,Knxwledge,Prodigy (rapper)
15,Knxwledge,Action Bronson
16,Knxwledge,Action Bronson
17,Knxwledge,Westside Gunn
18,Knxwledge,MC Eiht
0,Kokane,Snoop Dogg
1,Kokane,Snoop Dogg
2,Kokane,Eazy-E
3,Kokane,Eazy-E
4,Kokane,Tupac Shakur
5,Kokane,Dr. Dre
6,Kokane,Daz Dillinger
7,Kokane,E-40
8,Kokane,Ice Cube
9,Kokane,Kurupt
10,Kokane,Nipsey Hussle
11,Kokane,Roscoe (rapper)
12,Kokane,Brotha Lynch Hung
13,Kokane,Spice 1
14,Kokane,Suga Free
15,Kokane,The Alchemist (musician)
16,Kokane,Too Short
17,Kokane,WC (rapper)
18,Kokane,Ras Kass
19,Kokane,Ab-Soul
20,Kokane,The Game (rapper)
21,Kokane,Tony Yayo
0,Kossisko,ASAP Ferg
1,Kossisko,ASAP Ferg
2,Kossisko,Snoop Dogg
3,Kossisko,Snoop Dogg
4,Kossisko,Kreayshawn
5,Kossisko,Joey Fatts
6,Kossisko,Casey Veggies
0,Kreayshawn,V-Nasty
1,Kreayshawn,V-Nasty
2,Kreayshawn,V-Nasty
3,Kreayshawn,V-Nasty
4,Kreayshawn,Lil Debbie
5,Kreayshawn,Lil Debbie
6,Kreayshawn,Lil B
7,Kreayshawn,Lil B
8,Kreayshawn,Mac Miller
0,Krondon,Mitchy Slick
1,Krondon,Mitchy Slick
2,Krondon,Phil Da Agony
3,Krondon,Phil Da Agony
4,Krondon,Xzibit
5,Krondon,Xzibit
6,Krondon,Snoop Dogg
7,Krondon,Dr. Dre
8,Krondon,Statik Selektah
9,Krondon,Oh No (musician)
0,Kurupt,Foxy Brown (rapper)
1,Kurupt,Foxy Brown (rapper)
2,Kurupt,Foxy Brown (rapper)
3,Kurupt,Daz Dillinger
4,Kurupt,Daz Dillinger
5,Kurupt,Dr. Dre
6,Kurupt,Snoop Dogg
7,Kurupt,Nate Dogg
8,Kurupt,RBX
9,Kurupt,RBX
10,Kurupt,Tupac Shakur
11,Kurupt,Tupac Shakur
12,Kurupt,Ja Rule
13,Kurupt,50 Cent
14,Kurupt,Irv Gotti
15,Kurupt,Ras Kass
16,Kurupt,Canibus
17,Kurupt,Soopafly
18,Kurupt,Spider Loc
19,Kurupt,Crooked I
20,Kurupt,Crooked I
21,Kurupt,Roscoe (rapper)
22,Kurupt,DJ Drama
23,Kurupt,DJ Quik
24,Kurupt,MC Eiht
25,Kurupt,King T
26,Kurupt,B.G. Knocc Out
27,Kurupt,Tha Chill
28,Kurupt,Sir Jinx
29,Kurupt,Joell Ortiz
30,Kurupt,Big Dave (rapper)
31,Kurupt,E-40
32,Kurupt,Masta Killa
33,Kurupt,Ty Dolla Sign
34,Kurupt,Kendrick Lamar
35,Kurupt,Ice Cube
36,Kurupt,Redman (rapper)
37,Kurupt,The Notorious B.I.G.
38,Kurupt,Jadakiss
39,Kurupt,Nas
40,Kurupt,Kool Moe Dee
0,Kyle (musician),Futuristic (rapper)
1,Kyle (musician),Ty Dolla Sign
2,Kyle (musician),Wiz Khalifa
0,Kendrick Lamar,Baby Keem
1,Kendrick Lamar,Baby Keem
2,Kendrick Lamar,Baby Keem
3,Kendrick Lamar,Baby Keem
4,Kendrick Lamar,Baby Keem
5,Kendrick Lamar,Blxst
6,Kendrick Lamar,Dave Free
7,Kendrick Lamar,Dave Free
8,Kendrick Lamar,Dave Free
9,Kendrick Lamar,Dave Free
10,Kendrick Lamar,Tupac Shakur
11,Kendrick Lamar,Tupac Shakur
12,Kendrick Lamar,Dr. Dre
13,Kendrick Lamar,Dr. Dre
14,Kendrick Lamar,Dr. Dre
15,Kendrick Lamar,Dr. Dre
16,Kendrick Lamar,Jay Rock
17,Kendrick Lamar,Jay Rock
18,Kendrick Lamar,Ya Boy
19,Kendrick Lamar,The Game (rapper)
20,Kendrick Lamar,The Game (rapper)
21,Kendrick Lamar,Snoop Dogg
22,Kendrick Lamar,Snoop Dogg
23,Kendrick Lamar,Snoop Dogg
24,Kendrick Lamar,Snoop Dogg
25,Kendrick Lamar,Meek Mill
26,Kendrick Lamar,Meek Mill
27,Kendrick Lamar,Meek Mill
28,Kendrick Lamar,Fred the Godson
29,Kendrick Lamar,Mac Miller
30,Kendrick Lamar,Mac Miller
31,Kendrick Lamar,Lil B
32,Kendrick Lamar,RZA
33,Kendrick Lamar,Wyldfyer
34,Kendrick Lamar,Terrace Martin
35,Kendrick Lamar,ASAP Rocky
36,Kendrick Lamar,ASAP Rocky
37,Kendrick Lamar,Scoop DeVille
38,Kendrick Lamar,Pusha T
39,Kendrick Lamar,Mickey Factz
40,Kendrick Lamar,Joell Ortiz
41,Kendrick Lamar,Cassidy (rapper)
42,Kendrick Lamar,Joe Budden
43,Kendrick Lamar,Joe Budden
44,Kendrick Lamar,Macklemore
45,Kendrick Lamar,Method Man
46,Kendrick Lamar,Madlib
47,Kendrick Lamar,50 Cent
48,Kendrick Lamar,"Tyler, the Creator"
49,Kendrick Lamar,Jay-Z
50,Kendrick Lamar,Nas
51,Kendrick Lamar,Mos Def
52,Kendrick Lamar,DMX
53,Kendrick Lamar,Eazy-E
54,Kendrick Lamar,Rakim
55,Kendrick Lamar,Kurupt
56,Kendrick Lamar,Prodigy (rapper)
57,Kendrick Lamar,Sean Combs
0,Bishop Lamont,DJ Skee
1,Bishop Lamont,DJ Skee
2,Bishop Lamont,DJ Skee
3,Bishop Lamont,Dr. Dre
4,Bishop Lamont,Dr. Dre
5,Bishop Lamont,Xzibit
6,Bishop Lamont,The Game (rapper)
7,Bishop Lamont,Warren G
8,Bishop Lamont,DJ Premier
9,Bishop Lamont,RZA
10,Bishop Lamont,Pete Rock
11,Bishop Lamont,Busta Rhymes
0,MC Lars,MC Frontalot
1,MC Lars,MC Frontalot
2,MC Lars,MC Frontalot
3,MC Lars,Snoop Dogg
4,MC Lars,Nas
5,MC Lars,KRS-One
6,MC Lars,Sage Francis
0,Lecrae,Statik Selektah
1,Lecrae,Statik Selektah
2,Lecrae,Don Cannon
3,Lecrae,Don Cannon
4,Lecrae,Tupac Shakur
5,Lecrae,Tupac Shakur
6,Lecrae,Tupac Shakur
7,Lecrae,Trip Lee
8,Lecrae,Trip Lee
9,Lecrae,Kendrick Lamar
10,Lecrae,DJ Premier
11,Lecrae,Saigon (rapper)
12,Lecrae,Ty Dolla Sign
13,Lecrae,Nas
14,Lecrae,Nas
15,Lecrae,DJ Quik
16,Lecrae,Snoop Dogg
17,Lecrae,Tedashii
18,Lecrae,Tedashii
19,Lecrae,No Malice
20,Lecrae,Sho Baraka
21,Lecrae,Andy Mineo
0,Lefty (rapper),Sean Price
1,Lefty (rapper),Pumpkinhead (rapper)
0,Shorty (American rapper),Ice Cube
1,Shorty (American rapper),Ice Cube
2,Shorty (American rapper),Ice Cube
3,Shorty (American rapper),Ice Cube
4,Shorty (American rapper),Ice Cube
5,Shorty (American rapper),Ice Cube
6,Shorty (American rapper),Yo-Yo (rapper)
7,Shorty (American rapper),Sir Jinx
8,Shorty (American rapper),Del the Funky Homosapien
9,Shorty (American rapper),Coolio
10,Shorty (American rapper),DJ Premier
11,Shorty (American rapper),Mack 10
12,Shorty (American rapper),WC (rapper)
13,Shorty (American rapper),B-Real
0,Lil B,Mistah F.A.B.
1,Lil B,Joe Budden
2,Lil B,"Tyler, the Creator"
3,Lil B,Schoolboy Q
4,Lil B,Kreayshawn
5,Lil B,Mac Dre
0,Lil Debbie,Kreayshawn
1,Lil Debbie,Kreayshawn
2,Lil Debbie,Kreayshawn
3,Lil Debbie,V-Nasty
4,Lil Debbie,V-Nasty
0,Lil Italy,Snoop Dogg
1,Lil Italy,Snoop Dogg
2,Lil Italy,E-40
0,Lil Ric,Luni Coleone
1,Lil Ric,JT the Bigga Figga
2,Lil Ric,JT the Bigga Figga
3,Lil Ric,San Quinn
4,Lil Ric,San Quinn
5,Lil Ric,Keak da Sneak
6,Lil Ric,Keak da Sneak
7,Lil Ric,Rydah J. Klyde
8,Lil Ric,The Jacka
0,Lil Rob,The Game (rapper)
1,Lil Rob,The Game (rapper)
2,Lil Rob,E-40
3,Lil Rob,E-40
4,Lil Rob,Fat Joe
0,Lil Xan,Mac Miller
1,Lil Xan,Mac Miller
2,Lil Xan,Lil Skies
0,Locksmith (rapper),Apathy (rapper)
1,Locksmith (rapper),E-40
2,Locksmith (rapper),Just Blaze
3,Locksmith (rapper),Method Man
4,Locksmith (rapper),Sway Calloway
5,Locksmith (rapper),King Tech
6,Locksmith (rapper),San Quinn
7,Locksmith (rapper),Joe Budden
8,Locksmith (rapper),Murs (rapper)
9,Locksmith (rapper),Hopsin
10,Locksmith (rapper),Futuristic (rapper)
11,Locksmith (rapper),Chris Webby
0,LoveRance,Dom Kennedy
1,LoveRance,Droop-E
2,LoveRance,50 Cent
3,LoveRance,50 Cent
4,LoveRance,50 Cent
5,LoveRance,Iamsu!
6,LoveRance,DJ Skee
7,LoveRance,Problem (rapper)
0,Luni Coleone,Mac Dre
1,Luni Coleone,Mac Dre
2,Luni Coleone,Mac Dre
3,Luni Coleone,Brotha Lynch Hung
4,Luni Coleone,Brotha Lynch Hung
5,Luni Coleone,Playalitical
6,Luni Coleone,Playalitical
7,Luni Coleone,Spice 1
8,Luni Coleone,Spice 1
9,Luni Coleone,Yukmouth
10,Luni Coleone,Messy Marv
0,Mac Dre,E-40
1,Mac Dre,Mac Mall
2,Mac Dre,Yukmouth
3,Mac Dre,Too Short
0,CJ Mac,Mack 10
1,CJ Mac,Mack 10
2,CJ Mac,WC (rapper)
3,CJ Mac,WC (rapper)
4,CJ Mac,Fat Joe
5,CJ Mac,Dr. Dre
6,CJ Mac,Snoop Dogg
7,CJ Mac,Yukmouth
0,Mack 10,WC (rapper)
1,Mack 10,WC (rapper)
2,Mack 10,Ice Cube
3,Mack 10,Ice Cube
0,Macklemore,Aceyalone
1,Macklemore,Nas
2,Macklemore,Talib Kweli
3,Macklemore,Kool Moe Dee
4,Macklemore,Melle Mel
5,Macklemore,Grandmaster Caz
6,Macklemore,DJ Premier
0,Madlib,MF Doom
1,Madlib,MF Doom
2,Madlib,MF Doom
3,Madlib,Oh No (musician)
4,Madlib,Oh No (musician)
5,Madlib,Oh No (musician)
6,Madlib,Dudley Perkins (rapper)
7,Madlib,Dudley Perkins (rapper)
8,Madlib,Percee P
9,Madlib,Percee P
10,Madlib,Talib Kweli
11,Madlib,Talib Kweli
12,Madlib,Talib Kweli
13,Madlib,Snoop Dogg
14,Madlib,Jay-Z
15,Madlib,Kendrick Lamar
16,Madlib,Mac Miller
17,Madlib,Large Professor
18,Madlib,Marley Marl
19,Madlib,Dr. Dre
0,Mac Mall,Mac Dre
1,Mac Mall,Mac Dre
2,Mac Mall,Mac Dre
3,Mac Mall,JT the Bigga Figga
4,Mac Mall,E-40
5,Mac Mall,E-40
6,Mac Mall,E-40
7,Mac Mall,Tupac Shakur
8,Mac Mall,Sway Calloway
9,Mac Mall,Sway Calloway
10,Mac Mall,B-Legit
11,Mac Mall,Biz Markie
12,Mac Mall,Fat Joe
0,Glasses Malone,Mack 10
1,Glasses Malone,The Game (rapper)
2,Glasses Malone,The Game (rapper)
3,Glasses Malone,DJ Skee
4,Glasses Malone,Ty Dolla Sign
5,Glasses Malone,Kendrick Lamar
0,Mann (rapper),Dumbfoundead
1,Mann (rapper),50 Cent
2,Mann (rapper),50 Cent
3,Mann (rapper),Snoop Dogg
4,Mann (rapper),Snoop Dogg
5,Mann (rapper),Kendrick Lamar
6,Mann (rapper),Kendrick Lamar
7,Mann (rapper),Ty Dolla Sign
8,Mann (rapper),Mims (rapper)
0,Mayne Mannish,E-40
1,Mayne Mannish,E-40
2,Mayne Mannish,Omega Crosby
3,Mayne Mannish,Omega Crosby
0,Terrace Martin,Kendrick Lamar
1,Terrace Martin,Kendrick Lamar
2,Terrace Martin,Kendrick Lamar
3,Terrace Martin,Murs (rapper)
4,Terrace Martin,Murs (rapper)
5,Terrace Martin,Problem (rapper)
6,Terrace Martin,Snoop Dogg
7,Terrace Martin,Snoop Dogg
8,Terrace Martin,Snoop Dogg
9,Terrace Martin,Snoop Dogg
10,Terrace Martin,The Game (rapper)
11,Terrace Martin,Busta Rhymes
12,Terrace Martin,YG (rapper)
13,Terrace Martin,Wiz Khalifa
14,Terrace Martin,Wiz Khalifa
15,Terrace Martin,Pete Rock
16,Terrace Martin,Pete Rock
17,Terrace Martin,DJ Quik
18,Terrace Martin,DJ Quik
19,Terrace Martin,Kurupt
20,Terrace Martin,Kurupt
21,Terrace Martin,Dr. Dre
22,Terrace Martin,DJ Premier
23,Terrace Martin,Salaam Remi
0,Young Maylay,Shawn Fonteno
1,Young Maylay,Shawn Fonteno
2,Young Maylay,B.G. Knocc Out
3,Young Maylay,Ice Cube
4,Young Maylay,Ice Cube
5,Young Maylay,King T
6,Young Maylay,MC Eiht
7,Young Maylay,MC Eiht
8,Young Maylay,MC Eiht
9,Young Maylay,Rappin' 4-Tay
10,Young Maylay,WC (rapper)
11,Young Maylay,Ice-T
12,Young Maylay,The Game (rapper)
13,Young Maylay,Frost (rapper)
14,Young Maylay,Yo-Yo (rapper)
0,Trevor McFedries,Azealia Banks
1,Trevor McFedries,Shwayze
0,Mr. J. Medeiros,Talib Kweli
1,Mr. J. Medeiros,Talib Kweli
2,Mr. J. Medeiros,Mos Def
3,Mr. J. Medeiros,Aceyalone
4,Mr. J. Medeiros,Ali Shaheed Muhammad
5,Mr. J. Medeiros,Ohmega Watts
6,Mr. J. Medeiros,Ohmega Watts
7,Mr. J. Medeiros,Braille (musician)
0,Eli Meltzer,Mac Dre
1,Eli Meltzer,Brotha Lynch Hung
2,Eli Meltzer,San Quinn
0,Messy Marv,San Quinn
1,Messy Marv,San Quinn
2,Messy Marv,San Quinn
3,Messy Marv,Berner (rapper)
4,Messy Marv,Berner (rapper)
5,Messy Marv,Yukmouth
6,Messy Marv,Nipsey Hussle
7,Messy Marv,50 Cent
8,Messy Marv,Sha Money XL
9,Messy Marv,Spider Loc
10,Messy Marv,Mistah F.A.B.
11,Messy Marv,Too Short
12,Messy Marv,DB Tha General
0,Cymphonique Miller,Clyde Carson
1,Cymphonique Miller,Clyde Carson
0,Mistah F.A.B.,DJ Fresh (American DJ)
1,Mistah F.A.B.,DJ Fresh (American DJ)
2,Mistah F.A.B.,Mac Dre
3,Mistah F.A.B.,Mac Dre
4,Mistah F.A.B.,Mac Dre
5,Mistah F.A.B.,Too Short
6,Mistah F.A.B.,Clyde Carson
7,Mistah F.A.B.,Clyde Carson
8,Mistah F.A.B.,Snoop Dogg
9,Mistah F.A.B.,E-40
10,Mistah F.A.B.,Droop-E
11,Mistah F.A.B.,G-Stack
0,Mix Master Mike,DJ Hurricane
1,Mix Master Mike,Dr. Dre
2,Mix Master Mike,Darryl McDaniels
3,Mix Master Mike,Talib Kweli
4,Mix Master Mike,Swizz Beatz
0,Slim the Mobster,Dr. Dre
1,Slim the Mobster,Dr. Dre
2,Slim the Mobster,Dr. Dre
3,Slim the Mobster,The D.O.C.
4,Slim the Mobster,Xzibit
5,Slim the Mobster,Xzibit
6,Slim the Mobster,Xzibit
7,Slim the Mobster,Hussein Fatal
8,Slim the Mobster,Hussein Fatal
9,Slim the Mobster,50 Cent
10,Slim the Mobster,Snoop Dogg
11,Slim the Mobster,Kendrick Lamar
12,Slim the Mobster,Kendrick Lamar
13,Slim the Mobster,Prodigy (rapper)
14,Slim the Mobster,Jake One
15,Slim the Mobster,Sha Money XL
16,Slim the Mobster,DJ Whoo Kid
17,Slim the Mobster,DJ Whoo Kid
18,Slim the Mobster,Jay Rock
19,Slim the Mobster,Busta Rhymes
20,Slim the Mobster,N.O.R.E.
21,Slim the Mobster,Crooked I
0,Jonathan Moore (musician),Jake One
1,Jonathan Moore (musician),Sir Mix-a-Lot
2,Jonathan Moore (musician),Saul Williams
3,Jonathan Moore (musician),Macklemore
4,Jonathan Moore (musician),Mos Def
0,Lil Mosey,Lil Tecca
1,Lil Mosey,Lil Tecca
2,Lil Mosey,Lil Tecca
3,Lil Mosey,Lil Tjay
4,Lil Mosey,Lil Tjay
5,Lil Mosey,Lil Tjay
6,Lil Mosey,Lil Skies
7,Lil Mosey,Lil Skies
8,Lil Mosey,YG (rapper)
9,Lil Mosey,YG (rapper)
10,Lil Mosey,French Montana
11,Lil Mosey,French Montana
12,Lil Mosey,Meek Mill
13,Lil Mosey,Lil Xan
14,Lil Mosey,Drakeo the Ruler
0,Mr. Capone-E,Kokane
1,Mr. Capone-E,Kokane
2,Mr. Capone-E,Snoop Dogg
3,Mr. Capone-E,Snoop Dogg
4,Mr. Capone-E,Snoop Dogg
5,Mr. Capone-E,Snoop Dogg
6,Mr. Capone-E,Nate Dogg
7,Mr. Capone-E,Nate Dogg
8,Mr. Capone-E,Nate Dogg
9,Mr. Capone-E,Nate Dogg
10,Mr. Capone-E,Glasses Malone
11,Mr. Capone-E,Glasses Malone
12,Mr. Capone-E,French Montana
13,Mr. Capone-E,Suga Free
14,Mr. Capone-E,Suga Free
0,Murs (rapper),Terrace Martin
1,Murs (rapper),Terrace Martin
2,Murs (rapper),Aesop Rock
3,Murs (rapper),Droop-E
4,Murs (rapper),Fashawn
0,Myka 9,Haiku d'Etat
1,Myka 9,Haiku d'Etat
2,Myka 9,Haiku d'Etat
3,Myka 9,Haiku d'Etat
4,Myka 9,Haiku d'Etat
5,Myka 9,Aceyalone
6,Myka 9,Aceyalone
7,Myka 9,Aceyalone
8,Myka 9,Abstract Rude
9,Myka 9,Abstract Rude
10,Myka 9,Abstract Rude
11,Myka 9,Busdriver
12,Myka 9,Busdriver
13,Myka 9,Cut Chemist
14,Myka 9,Talib Kweli
15,Myka 9,Talib Kweli
16,Myka 9,Mos Def
17,Myka 9,Busta Rhymes
18,Myka 9,Peace (rapper)
19,Myka 9,Self Jupiter
20,Myka 9,K-the-I???
0,Emcee N.I.C.E.,Nas
1,Emcee N.I.C.E.,Nas
2,Emcee N.I.C.E.,Nas
0,Shady Nate,Snoop Dogg
1,Shady Nate,Keak da Sneak
2,Shady Nate,Keak da Sneak
3,Shady Nate,Keak da Sneak
4,Shady Nate,Yukmouth
5,Shady Nate,Yukmouth
6,Shady Nate,San Quinn
7,Shady Nate,Beeda Weeda
8,Shady Nate,Beeda Weeda
9,Shady Nate,Mistah F.A.B.
10,Shady Nate,Killa Keise
11,Shady Nate,G-Stack
12,Shady Nate,Dubb 20
13,Shady Nate,Mitchy Slick
14,Shady Nate,Ya Boy
15,Shady Nate,B-Legit
16,Shady Nate,B-Legit
17,Shady Nate,B-Legit
18,Shady Nate,The Jacka
19,Shady Nate,Rydah J. Klyde
0,Damani Nkosi,Dr. Dre
1,Damani Nkosi,Swizz Beatz
2,Damani Nkosi,Snoop Dogg
3,Damani Nkosi,Snoop Dogg
4,Damani Nkosi,Pusha T
5,Damani Nkosi,Pusha T
6,Damani Nkosi,No Malice
7,Damani Nkosi,No Malice
8,Damani Nkosi,Crooked I
9,Damani Nkosi,Mitchy Slick
10,Damani Nkosi,Daz Dillinger
0,Nobody (producer),Abstract Rude
1,Nobody (producer),Busdriver
2,Nobody (producer),Busdriver
3,Nobody (producer),Nocando
4,Nobody (producer),Nocando
5,Nobody (producer),Nocando
6,Nobody (producer),Isaiah Toothtaker
0,Nocando,Flash Bang Grenada
1,Nocando,Flash Bang Grenada
2,Nocando,Flash Bang Grenada
3,Nocando,Nobody (producer)
4,Nocando,Nobody (producer)
5,Nocando,Busdriver
6,Nocando,Busdriver
7,Nocando,Dumbfoundead
8,Nocando,K-the-I???
9,Nocando,Abstract Rude
10,Nocando,Self Jupiter
0,Cool Nutz,E-40
1,Cool Nutz,E-40
2,Cool Nutz,E-40
3,Cool Nutz,Kreayshawn
4,Cool Nutz,Kreayshawn
5,Cool Nutz,Luni Coleone
6,Cool Nutz,Luni Coleone
7,Cool Nutz,Yukmouth
8,Cool Nutz,Yukmouth
0,O.Y.G Redrum 781,Tupac Shakur
1,O.Y.G Redrum 781,Tupac Shakur
2,O.Y.G Redrum 781,Kurupt
3,O.Y.G Redrum 781,Snoop Dogg
4,O.Y.G Redrum 781,Dr. Dre
5,O.Y.G Redrum 781,DJ Quik
6,O.Y.G Redrum 781,Ice-T
7,O.Y.G Redrum 781,Kam (rapper)
0,Oh No (musician),The Alchemist (musician)
1,Oh No (musician),The Alchemist (musician)
2,Oh No (musician),The Alchemist (musician)
3,Oh No (musician),The Alchemist (musician)
4,Oh No (musician),Madlib
5,Oh No (musician),Madlib
6,Oh No (musician),Madlib
7,Oh No (musician),Madlib
8,Oh No (musician),Mos Def
9,Oh No (musician),Mos Def
10,Oh No (musician),Percee P
11,Oh No (musician),Roc Marciano
12,Oh No (musician),Murs (rapper)
13,Oh No (musician),Murs (rapper)
14,Oh No (musician),Dudley Perkins (rapper)
15,Oh No (musician),Aloe Blacc
16,Oh No (musician),Talib Kweli
17,Oh No (musician),Talib Kweli
18,Oh No (musician),Prodigy (rapper)
19,Oh No (musician),Action Bronson
20,Oh No (musician),Styles P
21,Oh No (musician),Apathy (rapper)
0,OhGeesy,Drakeo the Ruler
1,OhGeesy,YG (rapper)
2,OhGeesy,YG (rapper)
0,Only Won,Will Smith
0,Paris (rapper),Kam (rapper)
1,Paris (rapper),Kam (rapper)
2,Paris (rapper),E-40
3,Paris (rapper),WC (rapper)
4,Paris (rapper),WC (rapper)
5,Paris (rapper),Soopafly
6,Paris (rapper),KRS-One
7,Paris (rapper),RBX
8,Paris (rapper),The Alchemist (musician)
9,Paris (rapper),Mack 10
10,Paris (rapper),Evidence (musician)
11,Paris (rapper),B-Real
12,Paris (rapper),Snoop Dogg
0,Jay Park,Dumbfoundead
1,Jay Park,Dumbfoundead
2,Jay Park,Will Smith
3,Jay Park,Jay-Z
4,Jay Park,Jay-Z
5,Jay Park,Raz Simone
6,Jay Park,Hit-Boy
7,Jay Park,Nas
8,Jay Park,Dr. Dre
9,Jay Park,Canibus
10,Jay Park,Warren G
0,Passion (rapper),Rappin' 4-Tay
1,Passion (rapper),Rappin' 4-Tay
2,Passion (rapper),Rappin' 4-Tay
3,Passion (rapper),Rappin' 4-Tay
4,Passion (rapper),Domino (rapper)
5,Passion (rapper),Too Short
6,Passion (rapper),Too Short
7,Passion (rapper),Too Short
8,Passion (rapper),E-40
9,Passion (rapper),E-40
0,Peace (rapper),Aceyalone
1,Peace (rapper),Aceyalone
2,Peace (rapper),Aceyalone
3,Peace (rapper),Myka 9
4,Peace (rapper),Myka 9
5,Peace (rapper),Myka 9
6,Peace (rapper),Self Jupiter
7,Peace (rapper),Abstract Rude
0,J Peezy,Ice Cube
1,J Peezy,Too Short
2,J Peezy,Mistah F.A.B.
3,J Peezy,Hopsin
0,Dudley Perkins (rapper),Madlib
1,Dudley Perkins (rapper),Madlib
2,Dudley Perkins (rapper),Madlib
3,Dudley Perkins (rapper),Flying Lotus
4,Dudley Perkins (rapper),Oh No (musician)
0,Playalitical,E-40
1,Playalitical,E-40
2,Playalitical,Rappin' 4-Tay
3,Playalitical,Rappin' 4-Tay
4,Playalitical,Snoop Dogg
5,Playalitical,Snoop Dogg
6,Playalitical,Daz Dillinger
7,Playalitical,San Quinn
0,Pooh-Man,Too Short
1,Pooh-Man,Ant Banks
0,Problem (rapper),E-40
1,Problem (rapper),E-40
2,Problem (rapper),Terrace Martin
3,Problem (rapper),Snoop Dogg
4,Problem (rapper),Snoop Dogg
5,Problem (rapper),Snoop Dogg
6,Problem (rapper),Nas
7,Problem (rapper),Talib Kweli
8,Problem (rapper),Kurupt
9,Problem (rapper),DJ Quik
10,Problem (rapper),DJ Quik
11,Problem (rapper),DJ Quik
12,Problem (rapper),YG (rapper)
13,Problem (rapper),Iamsu!
14,Problem (rapper),Iamsu!
15,Problem (rapper),Kendrick Lamar
16,Problem (rapper),Wiz Khalifa
17,Problem (rapper),Nipsey Hussle
18,Problem (rapper),Warren G
19,Problem (rapper),Too Short
20,Problem (rapper),The Game (rapper)
21,Problem (rapper),Glasses Malone
22,Problem (rapper),Sage the Gemini
0,Psychosiz,Dumbfoundead
1,Psychosiz,Dumbfoundead
2,Psychosiz,Dumbfoundead
3,Psychosiz,Nocando
4,Psychosiz,Nocando
0,Punch (rapper),Terrace Martin
1,Punch (rapper),Terrace Martin
2,Punch (rapper),Terrace Martin
3,Punch (rapper),Kendrick Lamar
4,Punch (rapper),Kendrick Lamar
5,Punch (rapper),Kendrick Lamar
6,Punch (rapper),Kendrick Lamar
7,Punch (rapper),Schoolboy Q
8,Punch (rapper),Schoolboy Q
9,Punch (rapper),Willie B (producer)
10,Punch (rapper),Willie B (producer)
11,Punch (rapper),Dave Free
12,Punch (rapper),Jay Rock
13,Punch (rapper),Jay Rock
14,Punch (rapper),Ab-Soul
15,Punch (rapper),Dom Kennedy
16,Punch (rapper),Ash Riser
17,Punch (rapper),Problem (rapper)
0,Schoolboy Q,Ab-Soul
1,Schoolboy Q,Ab-Soul
2,Schoolboy Q,Jay Rock
3,Schoolboy Q,Jay Rock
4,Schoolboy Q,Kendrick Lamar
5,Schoolboy Q,Kendrick Lamar
6,Schoolboy Q,Kendrick Lamar
7,Schoolboy Q,Kendrick Lamar
8,Schoolboy Q,40 Glocc
9,Schoolboy Q,Wiz Khalifa
10,Schoolboy Q,Mac Miller
11,Schoolboy Q,Mac Miller
12,Schoolboy Q,Mac Miller
13,Schoolboy Q,Mac Miller
14,Schoolboy Q,Snoop Dogg
15,Schoolboy Q,Macklemore
16,Schoolboy Q,Macklemore
17,Schoolboy Q,Macklemore
18,Schoolboy Q,Vince Staples
19,Schoolboy Q,Nas
20,Schoolboy Q,50 Cent
21,Schoolboy Q,Jay-Z
22,Schoolboy Q,The Notorious B.I.G.
23,Schoolboy Q,Kurupt
24,Schoolboy Q,Sean Combs
